DateTime,usage,hour,dayofweek,anomaly_score,is_anomaly
2013-01-01 00:30:00,0.519,0,1,1,False
2013-01-01 01:00:00,0.486,1,1,1,False
2013-01-01 01:30:00,0.237,1,1,1,False
2013-01-01 02:00:00,0.5,2,1,1,False
2013-01-01 02:30:00,0.527,2,1,1,False
2013-01-01 03:00:00,1.038,3,1,1,False
2013-01-01 03:30:00,0.284,3,1,1,False
2013-01-01 04:00:00,0.625,4,1,1,False
2013-01-01 04:30:00,0.474,4,1,1,False
2013-01-01 05:00:00,0.157,5,1,1,False
2013-01-01 05:30:00,0.21,5,1,1,False
2013-01-01 06:00:00,0.287,6,1,1,False
2013-01-01 06:30:00,0.271,6,1,1,False
2013-01-01 07:00:00,0.174,7,1,1,False
2013-01-01 07:30:00,0.179,7,1,1,False
2013-01-01 08:00:00,0.244,8,1,1,False
2013-01-01 08:30:00,0.236,8,1,1,False
2013-01-01 09:00:00,0.169,9,1,1,False
2013-01-01 09:30:00,0.189,9,1,1,False
2013-01-01 10:00:00,0.273,10,1,1,False
2013-01-01 10:30:00,0.307,10,1,1,False
2013-01-01 11:00:00,0.199,11,1,1,False
2013-01-01 11:30:00,0.207,11,1,1,False
2013-01-01 12:00:00,0.573,12,1,1,False
2013-01-01 12:30:00,1.985,12,1,1,False
2013-01-01 13:00:00,0.473,13,1,1,False
2013-01-01 13:30:00,0.744,13,1,1,False
2013-01-01 14:00:00,2.1340001,14,1,1,False
2013-01-01 14:30:00,1.0140001,14,1,1,False
2013-01-01 15:00:00,2.2019999,15,1,1,False
2013-01-01 15:30:00,3.5450001,15,1,-1,True
2013-01-01 16:00:00,2.7279999,16,1,1,False
2013-01-01 16:30:00,1.1339999,16,1,1,False
2013-01-01 17:00:00,1.201,17,1,1,False
2013-01-01 17:30:00,2.2869999,17,1,1,False
2013-01-01 18:00:00,1.624,18,1,1,False
2013-01-01 18:30:00,1.485,18,1,1,False
2013-01-01 19:00:00,4.0630002,19,1,-1,True
2013-01-01 19:30:00,1.818,19,1,1,False
2013-01-01 20:00:00,2.0869999,20,1,1,False
2013-01-01 20:30:00,1.337,20,1,1,False
2013-01-01 21:00:00,1.9529999,21,1,1,False
2013-01-01 21:30:00,1.425,21,1,1,False
2013-01-01 22:00:00,1.178,22,1,1,False
2013-01-01 22:30:00,0.92,22,1,1,False
2013-01-01 23:00:00,1.772,23,1,1,False
2013-01-01 23:30:00,0.763,23,1,1,False
2013-01-02 00:00:00,0.591,0,2,1,False
2013-01-02 00:30:00,0.549,0,2,1,False
2013-01-02 01:00:00,0.532,1,2,1,False
2013-01-02 01:30:00,0.41,1,2,1,False
2013-01-02 02:00:00,0.177,2,2,1,False
2013-01-02 02:30:00,0.24,2,2,1,False
2013-01-02 03:00:00,0.159,3,2,1,False
2013-01-02 03:30:00,0.154,3,2,1,False
2013-01-02 04:00:00,0.158,4,2,1,False
2013-01-02 04:30:00,0.214,4,2,1,False
2013-01-02 05:00:00,0.186,5,2,1,False
2013-01-02 05:30:00,0.181,5,2,1,False
2013-01-02 06:00:00,0.221,6,2,1,False
2013-01-02 06:30:00,0.215,6,2,1,False
2013-01-02 07:00:00,0.255,7,2,1,False
2013-01-02 07:30:00,1.813,7,2,1,False
2013-01-02 08:00:00,0.525,8,2,1,False
2013-01-02 08:30:00,1.706,8,2,1,False
2013-01-02 09:00:00,0.409,9,2,1,False
2013-01-02 09:30:00,0.314,9,2,1,False
2013-01-02 10:00:00,0.257,10,2,1,False
2013-01-02 10:30:00,0.346,10,2,1,False
2013-01-02 11:00:00,0.4,11,2,1,False
2013-01-02 11:30:00,0.466,11,2,1,False
2013-01-02 12:00:00,0.392,12,2,1,False
2013-01-02 12:30:00,0.884,12,2,1,False
2013-01-02 13:00:00,1.918,13,2,1,False
2013-01-02 13:30:00,1.7180001,13,2,1,False
2013-01-02 14:00:00,4.059,14,2,-1,True
2013-01-02 14:30:00,1.9299999,14,2,1,False
2013-01-02 15:00:00,1.084,15,2,1,False
2013-01-02 15:30:00,1.204,15,2,1,False
2013-01-02 16:00:00,1.266,16,2,1,False
2013-01-02 16:30:00,1.9,16,2,1,False
2013-01-02 17:00:00,1.516,17,2,1,False
2013-01-02 17:30:00,1.8559999,17,2,1,False
2013-01-02 18:00:00,1.357,18,2,1,False
2013-01-02 18:30:00,0.732,18,2,1,False
2013-01-02 19:00:00,1.034,19,2,1,False
2013-01-02 19:30:00,2.177,19,2,1,False
2013-01-02 20:00:00,1.483,20,2,1,False
2013-01-02 20:30:00,0.942,20,2,1,False
2013-01-02 21:00:00,0.883,21,2,1,False
2013-01-02 21:30:00,1.196,21,2,1,False
2013-01-02 22:00:00,0.806,22,2,1,False
2013-01-02 22:30:00,0.839,22,2,1,False
2013-01-02 23:00:00,0.941,23,2,1,False
2013-01-02 23:30:00,0.901,23,2,1,False
2013-01-03 00:00:00,0.835,0,3,1,False
2013-01-03 00:30:00,0.717,0,3,1,False
2013-01-03 01:00:00,0.882,1,3,1,False
2013-01-03 01:30:00,1.057,1,3,1,False
2013-01-03 02:00:00,0.308,2,3,1,False
2013-01-03 02:30:00,0.283,2,3,1,False
2013-01-03 03:00:00,0.797,3,3,1,False
2013-01-03 03:30:00,0.144,3,3,1,False
2013-01-03 04:00:00,0.177,4,3,1,False
2013-01-03 04:30:00,0.194,4,3,1,False
2013-01-03 05:00:00,0.166,5,3,1,False
2013-01-03 05:30:00,0.178,5,3,1,False
2013-01-03 06:00:00,0.219,6,3,1,False
2013-01-03 06:30:00,0.207,6,3,1,False
2013-01-03 07:00:00,0.151,7,3,1,False
2013-01-03 07:30:00,0.402,7,3,1,False
2013-01-03 08:00:00,0.24,8,3,1,False
2013-01-03 08:30:00,0.263,8,3,1,False
2013-01-03 09:00:00,0.331,9,3,1,False
2013-01-03 09:30:00,0.271,9,3,1,False
2013-01-03 10:00:00,0.207,10,3,1,False
2013-01-03 10:30:00,0.186,10,3,1,False
2013-01-03 11:00:00,0.339,11,3,1,False
2013-01-03 11:30:00,1.659,11,3,1,False
2013-01-03 12:00:00,0.468,12,3,1,False
2013-01-03 12:30:00,0.751,12,3,1,False
2013-01-03 13:00:00,0.362,13,3,1,False
2013-01-03 13:30:00,1.1720001,13,3,1,False
2013-01-03 14:00:00,0.391,14,3,1,False
2013-01-03 14:30:00,3.5250001,14,3,-1,True
2013-01-03 15:00:00,3.5699999,15,3,-1,True
2013-01-03 15:30:00,2.2909999,15,3,1,False
2013-01-03 16:00:00,1.944,16,3,1,False
2013-01-03 16:30:00,0.781,16,3,1,False
2013-01-03 17:00:00,0.682,17,3,1,False
2013-01-03 17:30:00,0.51,17,3,1,False
2013-01-03 18:00:00,1.546,18,3,1,False
2013-01-03 18:30:00,1.406,18,3,1,False
2013-01-03 19:00:00,0.779,19,3,1,False
2013-01-03 19:30:00,0.802,19,3,1,False
2013-01-03 20:00:00,2.421,20,3,1,False
2013-01-03 20:30:00,1.048,20,3,1,False
2013-01-03 21:00:00,0.769,21,3,1,False
2013-01-03 21:30:00,1.779,21,3,1,False
2013-01-03 22:00:00,0.838,22,3,1,False
2013-01-03 22:30:00,0.682,22,3,1,False
2013-01-03 23:00:00,0.646,23,3,1,False
2013-01-03 23:30:00,0.863,23,3,1,False
2013-01-04 00:00:00,0.901,0,4,1,False
2013-01-04 00:30:00,0.924,0,4,1,False
2013-01-04 01:00:00,0.415,1,4,1,False
2013-01-04 01:30:00,1.0190001,1,4,1,False
2013-01-04 02:00:00,0.231,2,4,1,False
2013-01-04 02:30:00,0.205,2,4,1,False
2013-01-04 03:00:00,0.24,3,4,1,False
2013-01-04 03:30:00,0.258,3,4,1,False
2013-01-04 04:00:00,0.224,4,4,1,False
2013-01-04 04:30:00,0.184,4,4,1,False
2013-01-04 05:00:00,0.228,5,4,1,False
2013-01-04 05:30:00,0.188,5,4,1,False
2013-01-04 06:00:00,0.307,6,4,1,False
2013-01-04 06:30:00,0.226,6,4,1,False
2013-01-04 07:00:00,0.236,7,4,1,False
2013-01-04 07:30:00,0.183,7,4,1,False
2013-01-04 08:00:00,0.186,8,4,1,False
2013-01-04 08:30:00,0.166,8,4,1,False
2013-01-04 09:00:00,0.208,9,4,1,False
2013-01-04 09:30:00,0.172,9,4,1,False
2013-01-04 10:00:00,0.155,10,4,1,False
2013-01-04 10:30:00,0.148,10,4,1,False
2013-01-04 11:00:00,0.318,11,4,1,False
2013-01-04 11:30:00,1.645,11,4,1,False
2013-01-04 12:00:00,1.702,12,4,1,False
2013-01-04 12:30:00,2.1570001,12,4,1,False
2013-01-04 13:00:00,0.273,13,4,1,False
2013-01-04 13:30:00,3.5320001,13,4,-1,True
2013-01-04 14:00:00,0.608,14,4,1,False
2013-01-04 14:30:00,1.262,14,4,1,False
2013-01-04 15:00:00,0.482,15,4,1,False
2013-01-04 15:30:00,0.373,15,4,1,False
2013-01-04 16:00:00,0.344,16,4,1,False
2013-01-04 16:30:00,0.288,16,4,1,False
2013-01-04 17:00:00,0.302,17,4,1,False
2013-01-04 17:30:00,0.269,17,4,1,False
2013-01-04 18:00:00,0.398,18,4,1,False
2013-01-04 18:30:00,0.382,18,4,1,False
2013-01-04 19:00:00,0.36,19,4,1,False
2013-01-04 19:30:00,0.273,19,4,1,False
2013-01-04 20:00:00,0.266,20,4,1,False
2013-01-04 20:30:00,0.413,20,4,1,False
2013-01-04 21:00:00,0.779,21,4,1,False
2013-01-04 21:30:00,1.182,21,4,1,False
2013-01-04 22:00:00,2.0829999,22,4,1,False
2013-01-04 22:30:00,0.795,22,4,1,False
2013-01-04 23:00:00,0.711,23,4,1,False
2013-01-04 23:30:00,0.804,23,4,1,False
2013-01-05 00:00:00,0.527,0,5,1,False
2013-01-05 00:30:00,0.509,0,5,1,False
2013-01-05 01:00:00,0.405,1,5,1,False
2013-01-05 01:30:00,0.834,1,5,1,False
2013-01-05 02:00:00,0.261,2,5,1,False
2013-01-05 02:30:00,0.521,2,5,1,False
