,mean_usage,std_dev,max_usage,total_usage,mean_Night,mean_Morning,mean_Afternoon,mean_Evening,cluster
MAC000002,0.24057791098173514,0.23967487367618978,2.994,4214.9250004,0.15981894974885844,0.19844315079908675,0.23429748863013702,0.3697520547488584,2
MAC000003,0.4000651332058454,0.6398232492030319,3.757,7008.3410035,0.9766930812514272,0.30109292253424663,0.16512671228310505,0.15742406946791507,1
MAC000004,0.035290027969632966,0.07177270137473604,0.69,618.246,0.034572602739726024,0.03540854076273122,0.03557808219178082,0.03560091324200913,0
MAC000006,0.060152111872146134,0.05459270004930438,0.774,1053.8650000000002,0.031242237442922375,0.07479155251141553,0.056701369863013704,0.07787328767123289,0
MAC000007,0.19518707537249527,0.23343887990190995,3.7839999,3419.0919992999998,0.07248013698630136,0.22142498289563828,0.22035678385107355,0.26650388116438356,2
MAC000008,0.35881978745687865,0.24964694768071613,3.5810001,5200.733999399999,0.237666114790287,0.35159536295887384,0.4120861162848468,0.4339442605132451,2
MAC000009,0.1720274113642853,0.16744849159655928,2.4349999,3012.3720003999997,0.071974200913242,0.20703356175799087,0.2194641388533577,0.18968762863023098,2
MAC000010,0.5313384701541095,0.4156485424276607,4.1890001,9309.049997099999,0.229221004543379,0.4850833334246576,0.6460630134931507,0.7649865291552512,1
MAC000011,0.2994177749700325,0.25018622640240634,2.582,5245.4999996999995,0.1827623287442922,0.25321351909111667,0.3240344746575342,0.43765022847031965,2
MAC000012,0.04611444716022604,0.08233747171828601,1.345,807.8789998,0.02924023749714547,0.04646872146118722,0.05018264835616438,0.0585623287671233,0
MAC000013,0.10104423768479937,0.054628071613698086,0.432,1770.194,0.07092762557077625,0.08417442922374428,0.10383767123287672,0.1452473167389815,0
MAC000016,0.030555555555555565,0.028401056263971748,0.233,22.000000000000007,0.025333333333333336,0.02551111111111111,0.02552222222222222,0.045855555555555566,0
MAC000018,0.2125190639212329,0.1520795501526053,2.0880001,3723.3339999000004,0.20649999997716895,0.1711547944520548,0.20241620999999999,0.27000525125570773,2
MAC000019,0.13181934930936073,0.12805934926471718,1.641,2309.4749999,0.07003721461187214,0.14009840184931507,0.18379041091324202,0.13335136986301369,0
MAC000020,0.1258109373387373,0.13961638343894875,2.0090001,2203.9560003,0.05898812785388128,0.12540296803652967,0.1500189540762731,0.16884905238638961,0
MAC000021,0.461719104971745,0.23701400955260604,2.7160001,8088.857000000001,0.3816958210093629,0.47103264833333336,0.4432922375114155,0.5508374428767123,1
MAC000022,0.2560184942119984,0.18432981365375048,1.294,4485.1880001,0.22723972602739728,0.19707214611872148,0.24638775976250285,0.3533721461415525,2
MAC000023,0.2865536274730293,0.2931451049797845,2.2550001,5020.1329997,0.09574743092030143,0.27526894974885846,0.3604885844063927,0.41466598175799085,2
MAC000024,0.4295742334722302,0.6368595947113364,5.0250001,7525.710996200001,0.5233369857534246,0.2914475909568395,0.4372431503652968,0.4662376710502283,1
MAC000025,0.10468470936393741,0.22701604918384924,1.783,1833.4479997999997,0.018848630136986302,0.1315536774554591,0.2269712262845398,0.04136212017363491,0
MAC000026,0.24857057174273148,0.22549185794392448,2.6289999,4351.7249995,0.15190913242009135,0.3441185201872574,0.21658319970244908,0.28162046131536883,2
MAC000027,0.1812055936130137,0.11081592727890006,1.437,3174.7220001,0.14355479452054795,0.19070342465753426,0.17016324203196348,0.22040091324200914,0
MAC000028,0.0723096109252483,0.07177843368766092,1.6569999,968.2979999,0.06464755077658303,0.07729181600955795,0.0753993428614098,0.07189961159247088,0
MAC000029,0.06536777474297464,0.1052983079724372,2.05,1144.4590002,0.04882831052511416,0.0601946983546618,0.09238792317017384,0.06010479452054795,0
MAC000030,0.2411330591628119,0.2855240000032509,3.0710001,4222.480998999999,0.11402447392497712,0.24055707748858443,0.2805945205251142,0.32914409675725054,2
MAC000032,0.26885729757406246,0.5451731421826167,3.2309999,4710.1109962,0.8063383553881278,0.11719337892694064,0.08721283395752455,0.06464315068493151,2
MAC000033,0.15679827616873107,0.1159285710556676,1.854,2746.9490002,0.09644987440054807,0.15727260271689497,0.14211735162100456,0.2313394977625571,0
MAC000034,0.5028050924583238,1.0380824935639619,6.5279999,8807.1339995,1.4282019650673978,0.21518588689198448,0.16315639267123289,0.2052442921917808,1
MAC000035,0.4656996804087225,0.368790208931064,3.217,8158.127001400001,0.2683054794748858,0.418710502260274,0.619605527592508,0.5562474889497717,1
MAC000036,0.05510314515668703,0.060586071251765725,0.419,965.3520000000001,0.019215753424657533,0.06337146118721461,0.07257524548983786,0.0652541095890411,0
MAC000037,0.0016939323020720358,0.032835757077597755,0.862,29.675999999999995,0.0,0.005994063926940639,0.0007771180634848139,4.337899543378995e-06,0
MAC000038,0.25510641087514985,0.2623555780819191,2.6489999,4468.6989993,0.1237878511075588,0.2665878994748858,0.2773079030835998,0.3527221460958904,2
MAC000039,0.19085928848152592,0.22240421525980292,2.223,3342.1370006,0.08753025804978305,0.18728979878774019,0.209646575456621,0.278940410913242,2
MAC000040,0.6564227739383562,0.44370260114065224,5.1719999,11500.526999400001,0.47902557077625574,0.6898575342694063,0.6616543378538812,0.7951536528538813,1
MAC000041,0.17750102756022376,0.20177903384614534,1.573,3109.4630008,0.0795454338127854,0.16164246575342467,0.18463233614980593,0.2842098654258963,0
MAC000042,0.2019283960086793,0.1864997277729524,2.8559999,3536.3719993000004,0.09138036529680364,0.20394673077274805,0.2145696345890411,0.29784151619091115,2
MAC000043,0.07369071811850668,0.07227998323944404,2.2130001,1290.914,0.058504909796757244,0.07493904109589042,0.06812123287671232,0.09319867549668873,0
MAC000045,0.42435869646098523,0.4793663942368965,3.543,7434.340003300001,0.38739095718200506,0.32449885851598176,0.6805273976940639,0.30500913232876714,1
MAC000047,0.10124602993259454,0.06304635715468365,1.112,1772.413,0.06049794520547945,0.11022623400365632,0.12179221967963386,0.11252283105022831,0
MAC000049,0.7301931506792237,0.6738724228813735,6.171,12792.9839999,0.3297162102054795,0.5854458908675799,1.0101385843378996,0.9954719173059361,3
MAC000050,0.48346757075471697,0.5314435013499574,2.983,2459.883,0.10083962264150943,0.29703852201257863,0.5451147792452831,0.9908773591194968,1
MAC000053,0.18760550349965746,0.19999810683978575,2.4619999,3286.0979993,0.08979442665600731,0.1621278830554921,0.16880684929223744,0.3296748115094771,2
MAC000054,0.20255077344597294,0.12116796097404185,1.349,3548.487,0.12339269406392694,0.15650662100456622,0.23953287673515977,0.2907910481616807,0
MAC000055,0.26137888895358796,0.21337768322375575,2.4579999,4578.5739978,0.15936506849315069,0.2619785386757991,0.30029716731384193,0.3239068280200959,2
MAC000056,0.11710183812079004,0.10852851091169101,1.5420001,2051.3900002,0.034307762557077626,0.1259100456849315,0.17070511651439016,0.13750890410958905,0
MAC000057,0.1595292808219178,0.10793922689809705,1.757,2794.953,0.1409746575342466,0.1543554794520548,0.1664178082191781,0.1763691780821918,0
MAC000058,0.07121201050348214,0.07909755546059469,1.043,1247.492,0.029287899543378997,0.07451735159817352,0.08678145695364238,0.0942701530029687,0
MAC000059,0.3626690261616623,0.19221456148938942,2.0880001,6353.2360003,0.23756232876712327,0.323860502260274,0.45063233614980586,0.43865836958209636,2
MAC000060,0.22091609589611874,0.207013119631347,2.036,3870.4500001,0.07827214611872146,0.16052557077625573,0.25925981728310504,0.38560684940639267,2
MAC000061,0.12640259147211597,0.09417662350737546,1.152,2214.4469999999997,0.04991141552511415,0.10827077625570777,0.15279287508563597,0.19464132420091323,0
MAC000062,0.2527926585659645,0.13093220697958752,2.7160001,4428.169000100001,0.19865045662100458,0.24560593607305933,0.25957185291295404,0.3073470319406393,2
MAC000063,0.2689520601911327,0.24899447445444978,2.5799999,3433.4420004,0.1897878408649326,0.17530617361328737,0.2516566415726817,0.45900344620927325,2
MAC000066,0.14290170111314077,0.10740520791497728,1.619,2503.3520000999997,0.11829794520547945,0.13231141552511416,0.16831749659661946,0.15269155251141553,0
MAC000067,0.13885420710126725,0.09110351919637097,1.022,2432.448,0.11118127853881277,0.12803333333333333,0.14660301507537687,0.1696027397260274,0
MAC000068,0.3862658213331049,0.28932042369394556,2.2060001,6762.7419999,0.143423155971683,0.48252934457638735,0.4066252573781743,0.5125227220826672,1
MAC000069,0.10723166067819832,0.1288811311602914,2.3510001,1878.3770001,0.06744977171232877,0.10579419828688899,0.13673287673515983,0.11895181543731446,0
MAC000070,0.09125585111314077,0.12306350096595468,1.454,1598.6199998000002,0.027838127853881282,0.0960516099566111,0.1235839232016442,0.11755821920091322,0
MAC000072,0.08972943661167875,0.13270919149904462,1.433,1571.97,0.03712694063926941,0.08644302349851565,0.09613264842465753,0.13921438356164384,0
MAC000073,0.08519525853184806,0.1546663721983504,1.919,1491.3430006000003,0.0455094814027873,0.07989417149714287,0.09982735791276548,0.11556172837219937,0
MAC000074,0.27626772867991317,0.2191213871791528,2.6429999,4838.5530001,0.11991757990867581,0.24022989028793415,0.29200479671082685,0.4528929224200913,2
MAC000077,0.13013842114275928,0.08657166925508619,0.658,2279.895,0.09208472253939257,0.0747283105022831,0.1517191780821918,0.20201278538812786,0
MAC000078,0.098289514275929,0.17766018603094114,2.5109999,1721.9340006,0.047308904109589045,0.0913255708219178,0.07807947024434803,0.17643949776255707,0
MAC000079,0.3285766770937261,0.3724804197046244,4.04,5598.618001,0.19534256865461377,0.22701150237089202,0.39330234741784037,0.4986190143192488,1
MAC000080,0.07543508872148692,0.11044660641458562,1.938,535.7400001000001,0.0438186936936937,0.04730405405405405,0.06173577464788733,0.14891549301408452,0
MAC000081,0.26791334135982187,0.24276542852662478,2.323,4693.0380006,0.11607945205479452,0.2799915527397261,0.32445545906806766,0.3511717286595113,2
MAC000083,0.31239596998687136,0.27796636789531953,2.812,5472.8649982,0.24067024434802467,0.2943171231278539,0.30390821906392695,0.41067191767123284,2
MAC000084,0.27755003137736173,0.15542642698789189,2.1070001,4862.3989997,0.2037013698630137,0.281967344119662,0.2892767122831051,0.3352557077625571,2
MAC000085,0.5383099493121754,0.5010268427240702,3.658,9430.652002,0.23507307620461296,0.3779728309589041,0.5354052508675798,1.0047194070547947,1
MAC000086,0.1135864489925224,0.1266770416222686,1.834,1989.9209999,0.07984631198903859,0.14651141547945204,0.1348584474885845,0.09312191778538813,0
MAC000087,0.3302957127761603,0.19510334590111755,1.876,5785.790000700001,0.21418675799086756,0.3222970319634703,0.3780771689041096,0.4066742062828421,2
MAC000089,0.13967458188823562,0.178937053814554,2.0009999,2446.9590000999997,0.06105936073059359,0.1521696733729162,0.1373618721004566,0.20811027410958902,0
MAC000090,0.32953342459896107,0.3784446109113583,2.3199999,5772.436998700001,0.41300981730593606,0.22883356164383561,0.3864216893150685,0.2898414438428147,2
MAC000091,0.1286010844634703,0.10088164821442813,1.653,2253.0909997999997,0.08236301369863014,0.14214589038812786,0.13616301369863013,0.15373242006849316,0
MAC000092,0.09299503307261932,0.1464807762843211,1.615,1628.9009993,0.023786529680365296,0.15914181310801553,0.10169894926907265,0.0873706325188399,0
MAC000093,0.23665127030545247,0.22128484333189846,1.886,4144.9469994,0.09211187214611871,0.2027867092486869,0.2649218821151211,0.3868583827546825,2
MAC000094,0.24326833721102803,0.1996891828767975,1.997,4261.8179996,0.20759954337899544,0.21928584474885846,0.22027791733272437,0.3259047944292237,2
MAC000095,0.15937704917266737,0.16977680089800073,2.2190001,2080.5079999,0.11780821078431375,0.14156556369485293,0.13601287547516858,0.24210723045343138,0
MAC000096,0.6021847708430845,0.40293965392714354,3.6830001,10549.675000399999,0.3562892692922375,0.5852968714318338,0.6364570778538813,0.8306920091095891,1
MAC000097,0.40035487178491924,0.4028610882378355,3.918,7013.8169988,0.191213241826484,0.3717680365068493,0.4919372002283626,0.5465219177853881,1
MAC000098,0.22329155190541783,0.18493282449419507,1.7920001,3890.6320004000004,0.1043255280073462,0.1953900367309458,0.22749012860422407,0.36596051427915516,2
MAC000099,0.08612311644406392,0.07567129854475785,1.521,1508.8770001,0.06032351598173516,0.08013812785388127,0.08638287671232878,0.1176479452283105,0
MAC000100,0.240571917739726,0.2588726406347352,2.767,4214.8199988,0.09068264840182647,0.2741627852054795,0.31702146095890416,0.2804207763926941,2
MAC000101,0.22795175845512675,0.266631722630191,2.6400001,3992.8030011,0.0709075131308518,0.2939011415981735,0.30078602438912994,0.24620146187756967,2
MAC000102,0.06995473743721461,0.06872798213451743,1.176,1225.6069999000001,0.054611187214611875,0.049347031963470324,0.07808401824200914,0.09777671232876713,0
MAC000103,0.49574820003185727,0.3241522145683971,3.072,7780.7679995,0.3854315572775937,0.4165884301987768,0.4803636597094802,0.7005810396279307,1
MAC000104,0.14491379308632107,0.194717171845463,2.918,2538.3099997,0.04833242009132419,0.11839255535510392,0.19197967105984468,0.2209833295044531,0
MAC000105,1.05727406171817,0.7583661400282437,5.316,18509.696998500003,0.51614383543379,1.0509627690041115,1.2463424115358206,1.416119178219178,3
MAC000108,0.06890489781938577,0.0571284054588273,0.348,1207.076,0.0271703585293446,0.04353424657534247,0.11306552511415524,0.09184517013016669,0
MAC000110,0.3168799315843563,0.3266744742407871,2.9849999,5550.1520017,0.21965044562485722,0.19176844030600593,0.27098013270153004,0.5850150684931507,2
MAC000111,0.1999297374086758,0.16712408808515725,2.826,3502.7689994,0.13334977168949774,0.17752374429223747,0.19390844748858446,0.2949369861643836,2
MAC000112,0.2644282778297848,0.2779373187538057,3.8770001,4632.518999299999,0.1306059360502283,0.31562685533226764,0.2997214612785388,0.31177054783105024,2
MAC000113,0.565202855580707,0.36760469006209906,2.869,9737.879998800001,0.42518221910399256,0.5332300902716508,0.580684394101254,0.7217144844707521,1
MAC000114,0.15682902298850576,0.17465947405485377,1.3789999,218.306,0.06415229885057472,0.15948563218390804,0.17234195431034482,0.2313362066091954,0
MAC000115,0.17856572865460354,0.20976078258883588,4.0040002,3128.2930002999997,0.10196803655251142,0.15286803652968037,0.17373966668189084,0.28568607301369864,2
MAC000116,0.6116546801141552,0.40496394313169637,3.5599999,10716.1899956,0.3996105021232877,0.530191780913242,0.7171228310045662,0.7996936064155251,1
MAC000117,0.1596172374429224,0.15901367195483304,2.0120001,2796.494,0.08991301369863014,0.12385228310502282,0.1797162100913242,0.2449874428767123,0
MAC000118,0.16524598960438433,0.18801311745866994,1.676,2894.6139999,0.08514595705801736,0.13213701758392327,0.22675410956621003,0.21690273972602742,0
MAC000119,0.28680577748915276,0.34817256908696453,1.936,5023.6899985,0.10837671235159817,0.15029801297099796,0.20726147529116234,0.6814177705116491,2
MAC000120,0.030664704233249233,0.043583258981381955,0.944,328.14300000000003,0.024707399103139016,0.030702803738317762,0.034,0.033250841121495324,0
MAC000121,0.21469244419576416,0.15900485807362327,1.497,3750.6770001,0.11420288527593311,0.145566163003663,0.2643340966338447,0.33465499086538464,2
MAC000122,0.10769337062753381,0.14633785054934959,1.573,1886.0339997999997,0.022215753424657536,0.1279472482073533,0.12798446424491663,0.1526753483893077,0
MAC000123,0.15468687214041096,0.09540621762358115,1.675,2710.1139999,0.09740844748858447,0.16504611869863012,0.22408264840182648,0.13221027397260274,0
MAC000125,0.22545600914073652,0.23267976414003283,1.974,3948.8620001,0.1317755707762557,0.2568842201644211,0.2100082228871631,0.3031916400639562,2
MAC000126,0.10331415195524349,0.14456232456315854,1.7589999,1809.7539998000002,0.049055022831050225,0.09037397257990867,0.10304682498857926,0.17079607218543047,0
MAC000127,0.18390170671842,0.14357400833392564,1.5369999,3221.774,0.11420164421100708,0.1990312785388128,0.21165205479452054,0.21070593607305937,0
MAC000128,0.10701147326331412,0.11307446543342894,1.9299999,1874.7340001,0.054446575342465754,0.10763972602739726,0.12717671232876715,0.1387901347567938,0
MAC000129,0.2169779568,0.27401399464950155,2.7160001,3769.9919994,0.09517104051565378,0.27367142502878194,0.24422421726519342,0.25485819537292814,2
MAC000130,0.07557880016553456,0.06116274185754158,1.365,1324.0650001,0.0314324200913242,0.06715913244292238,0.0977346426124686,0.10599406392694065,0
MAC000131,0.21122305936643834,0.20750328408894586,1.599,3700.6280000999996,0.10496415525114156,0.14929611869863016,0.2799294521232876,0.3107025113926941,2
MAC000132,0.2903516413816728,0.2629713705112027,2.724,5085.508998799999,0.13156164383561644,0.25318200484128794,0.31903860201005024,0.4577053449063499,2
MAC000133,0.45616144305531764,0.5408850617873878,5.4990001,7990.579997999999,0.16638036534246575,0.4232210548298698,0.6396461182876713,0.595454317176793,1
MAC000134,0.38819431913303437,0.966243874523821,4.1609998,259.7019995,0.01855952380952381,0.650922618452381,0.41389090787878785,0.469863094047619,1
MAC000135,0.11676470588235295,0.07448607319736349,0.921,285.84000000000003,0.094640522875817,0.08816830065359478,0.11261274509803922,0.1716372549019608,0
MAC000136,0.3891030690791967,0.27917710694528,1.753,1026.8429993,0.20825454545454541,0.32583181833333336,0.5445189670713201,0.478042424090909,2
MAC000137,0.28223528746503795,0.2268134532046509,2.0580001,4944.4800011,0.17755342463470322,0.2627486302283105,0.28992876712328763,0.39873692642155745,2
MAC000138,0.16627634426304375,0.30165561481783654,4.323,2912.8289988,0.05706027399543379,0.16933744301369866,0.18346596608040197,0.2552495431050228,2
MAC000140,0.10637694061643835,0.15225554078048445,2.4909999,1863.7239995999998,0.05323812785388128,0.09712648399543379,0.11563447488584476,0.1595086757305936,0
MAC000142,0.720476274368071,0.47588286059907214,4.2379999,1624.6739987,0.44729307282415626,0.7211241131205673,0.7431843976950354,0.9698191464539004,1
MAC000143,0.18504937497574064,0.1529837832746661,1.673,3241.8800002000003,0.09031118721461187,0.17361506849315067,0.2038116008449418,0.27246392696347027,0
MAC000144,0.11614835296946381,0.1775043949103557,1.956,1449.183,0.03828846153846154,0.0936269230769231,0.18772339737179486,0.14498235489252487,0
MAC000145,0.2748252853082191,0.2452282351126175,2.8540001,4814.938998599999,0.18004817351598174,0.2408264839497717,0.30219063924657535,0.3762358445205479,2
MAC000148,0.10151818441335998,0.06942428587737119,0.393,1778.0910000000001,0.10455547945205479,0.09927220826672759,0.09810918227501142,0.10413499314755595,0
MAC000149,0.033700428204396234,0.03728059728653509,0.471,590.263,0.0106837899543379,0.026157113496232016,0.033833028780264965,0.06414001827318411,0
MAC000150,0.19643092819385774,0.22502450169070176,2.5139999,3441.0770001,0.12528995433789955,0.13146575342465752,0.20446255710045666,0.3245639561443582,2
MAC000151,0.07712063945760778,0.059502617678535465,1.1160001,1350.7680001,0.04192077625570776,0.08426535741036767,0.08091777067153952,0.10139310187300138,0
MAC000152,0.17750987441780824,0.23276689376486326,2.925,3109.9729998000003,0.08808378997716895,0.1670737441324201,0.2086712328310502,0.24621073073059363,2
MAC000153,0.6518491007250928,0.6201036372589018,4.0939999,11417.136999200002,1.1186842467351599,0.4216610324577433,0.4402463470776256,0.6266824304774959,1
MAC000154,0.14892428821377446,0.12234505736037582,1.448,936.287,0.10743093570973902,0.1156704834605598,0.15519147589058524,0.2173778625318066,0
MAC000155,0.29851230369397663,0.21314528297673901,2.0710001,5228.4429992000005,0.19547442922374428,0.28324823021237727,0.27257766094106894,0.4427994516902695,2
MAC000156,0.23995278871952958,0.13246845617247638,1.9630001,4203.253,0.22768949773972605,0.18903036529680364,0.23176575342465755,0.31137445736806035,2
MAC000157,0.23399017983442763,0.15074724380038818,2.0039999,4098.3379998,0.2407159817579909,0.21498195930577757,0.1924383280264961,0.28782571946094104,2
MAC000159,0.18346238155611372,0.1391111991346698,1.2970001,3213.8940001,0.11546301369863016,0.16807442920091326,0.1955890411415525,0.2547555961626313,0
MAC000160,0.144998400719671,0.21541407235743268,2.273,2538.6319998,0.05904383561643835,0.10299657458323819,0.15080141859986274,0.2672099129739607,0
